#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_195	6772552	113	Y	N	1	*	195
contig_335	4743438	187	Y	N	2	*	335
contig_334	4734389	178	Y	N	1	*	334
contig_371	4020885	373	N	N	3	*	371,-888,-407,-888,-407,-888
contig_267	2983967	393	N	N	3	*	436,267,436
contig_304	2827648	351	N	N	3	*	436,304,436
contig_2	1881930	348	Y	N	3	*	2
contig_857	1352779	344	N	N	3	*	599,597,597,857,-599
contig_600	1055272	376	N	N	3	*	-599,600,599
contig_227	748502	13	N	N	1	*	227,-890,*
contig_844	730975	13	N	N	1	*	5,844,-867
contig_233	700884	13	N	N	1	*	37,39,845,233,381,-351,*
contig_885	625046	13	N	N	1	*	884,885,*
contig_841	615381	12	N	N	1	*	5,841,4,4,4,4,4,4,4,4,4,4
contig_11	548984	17	N	N	1	*	5,11,-250
contig_23	542002	8	N	N	1	*	*,23,*
contig_12	536189	13	N	N	1	*	5,12,381,-351,*
contig_46	532494	13	N	N	1	*	*,30,30,30,32,33,34,37,39,46,*
contig_464	465849	8	N	N	1	*	*,464,-487,*
contig_35	449427	13	N	N	1	*	*,35,228
contig_137	444963	12	N	N	1	*	137,340,341,342,-321,319
contig_9	434307	12	N	N	1	*	*,9,-30,*
contig_14	422384	13	N	N	1	*	5,14,-567
contig_858	421827	8	N	N	1	*	*,858,*
contig_69	412814	7	N	N	1	*	*,69,*
contig_57	404506	8	N	N	1	*	*,57,*
contig_230	396270	12	N	N	1	*	230,220
contig_866	395642	13	N	N	1	*	-220,866,340,341,342,-321,319,-231
contig_501	379774	9	N	N	1	*	*,501,*
contig_117	321614	7	N	N	1	*	*,117,-487,*
contig_253	318301	13	N	N	1	*	*,253,-867
contig_17	311167	13	N	N	1	*	-4,-4,-4,-4,-4,-4,-4,-4,17,-38,-34,-33,-32,-31,-30,-30,-30,*
contig_22	296254	13	N	N	1	*	5,22
contig_58	293336	7	N	N	1	*	*,58,*
contig_842	277749	13	N	N	1	*	842,-40,-37,-34,-33,*
contig_92	265473	7	N	N	1	*	*,92,*
contig_333	238824	13	N	N	1	*	333,4,4,4,4,4,4,4,4,4,4
contig_19	234800	13	N	N	1	*	-4,-4,-4,-4,-4,-4,-4,-4,19,*
contig_405	234733	7	N	N	1	*	405,*
contig_144	232352	8	N	N	1	*	*,144,*
contig_905	227466	13	N	N	1	*	905,*
contig_90	201866	8	N	N	1	*	53,61,90,*
contig_456	199607	9	N	N	1	*	456,*
contig_54	192277	7	N	N	1	*	*,54,*
contig_847	191830	11	N	N	1	*	38,37,39,845,847,297,*
contig_701	175812	7	N	N	1	*	701,*
contig_243	163131	9	N	N	1	*	243
contig_55	162939	5	N	N	1	*	*,55,*
contig_21	160427	12	N	N	1	*	-4,-4,-4,-4,-4,-4,-4,-4,-8,-8,21,*
contig_10	160364	15	N	N	1	*	5,10,-47
contig_403	157518	7	N	N	1	*	*,403,*
contig_6	157512	13	N	N	1	*	5,6,4,4,4,4,4,4,4,4,4,4,5
contig_59	154503	4	N	N	1	*	*,59,*
contig_786	152961	7	N	N	1	*	786,*
contig_881	150331	8	N	N	1	*	*,881,*
contig_354	148724	6	N	N	1	*	*,354,*
contig_175	146363	7	N	N	1	*	-155,-155,-159,-158,-157,-156,-155,-155,-155,-155,175
contig_850	144625	9	N	N	1	*	53,61,850,*
contig_511	139722	4	N	N	1	*	*,511,*
contig_556	139308	7	N	N	1	*	*,556,*
contig_16	135781	14	N	N	1	*	-4,-4,-4,-4,-4,-4,-4,-4,-4,16,-34,-33,-32,-31,*
contig_907	134384	358	N	N	3	*	599,597,907,599
contig_153	132501	4	N	N	1	*	*,153,*
contig_544	125133	4	N	N	1	*	*,544,*
contig_94	124975	7	N	N	1	*	53,61,94,-134
